49	45	46	43	45	45	42	49	45	46	40
46	45	49	45	50	42	45	45	40	46	41
47	45	49	49	45	45	45	48	45	48	36
46	45	40	49	50	45	45	48	49	45	48
45	45	40	45	45	45	45	45	45	36	36
45	45	45	45	42	50	45	45	45	40	45
48	40	49	45	45	45	45	45	42	36	45
47	40	45	45	41	40	45	41	41	48	36
49	45	49	45	50	50	45	45	45	48	48
45	48	45	45	46	50	45	40	45	42	40
40	40	40	40	40	40	40	40	40	40	40
49	45	50	48	46	46	46	46	46	45	45
47	45	40	45	45	50	48	48	45	45	45
45	45	49	42	50	42	42	45	40	45	50
46	45	40	36	45	40	40	40	40	45	50
46	47	40	50	50	45	45	48	45	46	50
50	45	45	45	45	45	50	45	50	40	42
46	45	45	45	41	43	40	45	45	40	40
36	41	45	43	45	45	45	45	36	36	36
46	40	20	41	36	36	40	36	40	36	36
